0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
地点,気圧,気圧,気温,気温,気温,湿度,湿度,風向・風速,風向・風速,風向・風速,風向・風速,風向・風速,日照 時間,降水量,降水量,降水量,降雪の 深さ 合計,最深 積雪,天気概況,天気概況
地点,現地,海面,平均,最高,最低,平均,最小,平均,最大,最大,最大瞬間,最大瞬間,日照 時間,日合計,日最大,日最大,降雪の 深さ 合計,最深 積雪,0600-1800,1800-翌0600
地点,平均,平均,平均,最高,最低,平均,最小,風速,風速,風向,風速,風向,日照 時間,日合計,１時間,10分間,降雪の 深さ 合計,最深 積雪,0600-1800,1800-翌0600
山形,1002.8,1021.9,3.9,10.2,0.8,85,58,1.4,4.6,南南西,8.3,南西,1.9,0.0,0.0,0.0,--,--,曇時々みぞれ一時雨,晴一時雨
新庄,1009.3,1022.1,2.2,5.0,0.3,95,86,0.9,2.3,北,3.6,南西,0.2,6.5,1.5,1.0,1,4,,
酒田,1020.8,1021.4,5.7,8.3,2.6,73,51,3.7,7.1,西北西,11.5,西北西,0.9,7.0,2.5,1.0,--,--,,
福島,1012.9,1021.5,5.9,12.7,0.8,67,36,1.7,5.9,北西,9.4,北西,5.5,0.0,0.0,0.0,--,--,晴一時雪後曇、みぞれを伴う,晴
若松,996.7,1023.3,2.8,6.7,0.1,94,83,0.9,3.5,北西,5.5,北西,0.6,2.0,1.0,0.5,--,--,,
白河,978.3,1022.2,3.1,10.2,-1.7,77,51,3.0,8.2,北北西,12.3,西北西,5.3,0.0,0.0,0.0,--,--,,
小名浜,1020.3,1020.9,7.0,14.2,0.2,63,37,3.7,11.9,北西,18.1,北西,8.4,--,--,--,,,,
水戸,1017.3,1021.1,6.2,14.8,-1.1,67,39,1.4,2.7,南南西,4.5,南,9.1,--,--,--,--,--,晴,晴
館野,1017.8,1021.3,4.7,14.4,-2.7,77,35,1.4,2.3,北西,4.0,北,9.3,--,--,--,--,--,,
宇都宮,1004.1,1021.5,5.5,13.7,-1.5,65,35,2.2,5.0,北,6.1,北,9.4,--,--,--,--,--,晴後一時曇,晴
日光,872.2,,0.7,5.2,-3.7,65,44,2.5,7.8,西南西,12.0,西,8.0,0.0,0.0,0.0,--,--,,
前橋,1007.5,1021.4,7.9,14.7,2.3,49,31,2.9,5.7,北,10.4,北,9.1,--,--,--,--,--,晴,晴
熊谷,1017.3,1021.2,7.1,16.0,-1.3,59,31,2.1,4.8,西北西,8.3,北西,9.2,--,--,--,--,--,晴,晴
秩父,993.2,1022.1,3.8,14.1,-3.6,75,38,1.1,2.7,北東,4.5,北,8.7,--,--,--,--,--,,
東京,1018.2,1021.2,7.8,13.8,2.2,61,37,1.6,3.4,北西,5.9,北西,8.9,--,--,--,--,--,快晴,晴
大島,1011.6,1020.9,9.1,14.5,4.6,79,46,3.1,5.6,北北東,8.0,北北東,8.2,--,--,--,,,,
三宅島,1015.6,1020.5,12.8,15.5,8.2,69,47,4.8,12.0,西,17.4,西,6.4,--,--,--,,,,
八丈島,1003.0,1021.3,13.3,16.4,10.6,65,53,3.4,6.0,西,12.3,西北西,3.1,0.0,0.0,0.0,,,,
父島,1020.9,1021.9,19.2,22.9,16.4,80,64,1.4,3.5,北北東,6.9,北東,1.8,0.0,0.0,0.0,,,曇時々雨一時晴,曇一時雨
南鳥島,1016.9,1017.9,23.6,26.2,20.6,82,71,3.1,5.6,北北西,8.4,北北西,7.7,0.0,0.0,0.0,,,,
千葉,1020.5,1021.3,8.2,12.8,3.1,60,40,1.9,3.8,北北西,5.6,北北西,9.3,--,--,--,--,--,,
銚子,1017.4,1020.9,9.2,13.4,4.4,67,42,2.7,5.2,北西,7.4,北西,9.3,--,--,--,--,--,晴,晴後一時曇
館山,1020.0,1020.9,7.3,16.4,1.4,74,34,1.8,4.4,西北西,5.8,西北西,9.3,--,--,--,,,,
勝浦,1019.2,1020.9,9.1,15.6,5.0,64,34,2.9,5.5,北北西,8.6,北北西,8.9,--,--,--,,,,
横浜,1016.0,1021.2,8.8,13.4,4.1,59,44,1.9,3.7,北北西,5.6,北,9.3,--,--,--,--,--,晴,晴
長野,972.3,1023.7,3.1,10.4,-1.3,78,51,1.6,5.2,北,7.7,北,7.7,--,--,--,--,--,晴時々曇,晴後一時曇
松本,949.4,1023.3,2.9,11.1,-3.0,67,38,1.5,3.6,北,5.9,北,8.9,--,--,--,--,--,,
諏訪,931.8,1023.2,2.5,10.2,-3.2,74,38,1.7,5.4,西北西,6.0,西北西,8.8,--,--,--,--,--,,
軽井沢,904.5,,-0.7,8.0,-5.5,81,49,1.7,4.1,南南西,7.5,南西,9.1,--,--,--,--,--,,
飯田,958.8,1022.7,4.7,13.3,-0.4,68,36,1.5,4.2,北西,7.1,北,9.0,0.0,0.0,0.0,--,--,,
甲府,987.5,1022.0,5.5,14.1,-0.5,70,35,1.0,2.1,北西,3.2,南,8.9,--,--,--,--,--,晴一時曇,晴後一時曇
河口湖,919.9,,2.6,12.5,-3.3,73,32,1.6,4.2,南東,6.7,西北西,9.2,--,--,--,--,--,,
